table_name;ordinal_position;column_name;data_type
kentrehberi_emlak_arsa;1;objectid;integer
kentrehberi_emlak_arsa;2;tapu_mah_adi;character varying
kentrehberi_emlak_arsa;3;adaparsel;character varying
kentrehberi_emlak_arsa;4;poly;USER-DEFINED
kentrehberi_emlak_arsa;5;tapu_blok_no;character varying
kentrehberi_emlak_arsa;6;tapu_katno;character varying
kentrehberi_emlak_arsa;7;tapu_bbolumno;character varying
kentrehberi_emlak_arsa;8;kayit_turu;character varying
kentrehberi_emlak_arsa;9;tasinmaz_tipi;character varying
kentrehberi_emlak_arsa;10;edinme_sebebi;character varying
kentrehberi_emlak_arsa;11;icon;character varying
kentrehberi_emlak_arsa;12;geo_durum;boolean
kentrehberi_emlak_arsa;13;durum;text
kentrehberi_emlak_arsa;14;hisse_durum;character varying
kentrehberi_emlak_arsa;15;yapi_id;integer
kentrehberi_emlak_arsa;16;mulkiyet_durumu;character varying
kentrehberi_emlak_arsa_kat_mulkiyetli;1;objectid;integer
kentrehberi_emlak_arsa_kat_mulkiyetli;2;tapu_mah_adi;character varying
kentrehberi_emlak_arsa_kat_mulkiyetli;3;adaparsel;character varying
kentrehberi_emlak_arsa_kat_mulkiyetli;4;poly;USER-DEFINED
kentrehberi_emlak_arsa_kat_mulkiyetli;5;tapu_blok_no;character varying
kentrehberi_emlak_arsa_kat_mulkiyetli;6;tapu_katno;character varying
kentrehberi_emlak_arsa_kat_mulkiyetli;7;tapu_bbolumno;character varying
kentrehberi_emlak_arsa_kat_mulkiyetli;8;kayit_turu;character varying
kentrehberi_emlak_arsa_kat_mulkiyetli;9;tasinmaz_tipi;character varying
kentrehberi_emlak_arsa_kat_mulkiyetli;10;edinme_sebebi;character varying
kentrehberi_emlak_arsa_kat_mulkiyetli;11;icon;character varying
kentrehberi_emlak_arsa_kat_mulkiyetli;12;geo_durum;boolean
kentrehberi_emlak_arsa_kat_mulkiyetli;13;durum;character varying
kentrehberi_emlak_arsa_kat_mulkiyetli;14;hisse_durum;character varying
kentrehberi_emlak_arsa_kat_mulkiyetli;15;yapi_id;integer
kentrehberi_emlak_arsa_kat_mulkiyetli;16;mulkiyet_durumu;character varying
kentrehberi_emlak_arsa_kismi_hisse;1;objectid;integer
kentrehberi_emlak_arsa_kismi_hisse;2;tapu_mah_adi;character varying
kentrehberi_emlak_arsa_kismi_hisse;3;adaparsel;character varying
kentrehberi_emlak_arsa_kismi_hisse;4;poly;USER-DEFINED
kentrehberi_emlak_arsa_kismi_hisse;5;tapu_blok_no;character varying
kentrehberi_emlak_arsa_kismi_hisse;6;tapu_katno;character varying
kentrehberi_emlak_arsa_kismi_hisse;7;tapu_bbolumno;character varying
kentrehberi_emlak_arsa_kismi_hisse;8;kayit_turu;character varying
kentrehberi_emlak_arsa_kismi_hisse;9;tasinmaz_tipi;character varying
kentrehberi_emlak_arsa_kismi_hisse;10;edinme_sebebi;character varying
kentrehberi_emlak_arsa_kismi_hisse;11;icon;character varying
kentrehberi_emlak_arsa_kismi_hisse;12;geo_durum;boolean
kentrehberi_emlak_arsa_kismi_hisse;13;durum;character varying
kentrehberi_emlak_arsa_kismi_hisse;14;hisse_durum;character varying
kentrehberi_emlak_arsa_kismi_hisse;15;yapi_id;integer
kentrehberi_emlak_arsa_kismi_hisse;16;mulkiyet_durumu;character varying
kentrehberi_emlak_arsa_satildi;1;objectid;integer
kentrehberi_emlak_arsa_satildi;2;tapu_mah_adi;character varying
kentrehberi_emlak_arsa_satildi;3;adaparsel;character varying
kentrehberi_emlak_arsa_satildi;4;poly;USER-DEFINED
kentrehberi_emlak_arsa_satildi;5;tapu_blok_no;character varying
kentrehberi_emlak_arsa_satildi;6;tapu_katno;character varying
kentrehberi_emlak_arsa_satildi;7;tapu_bbolumno;character varying
kentrehberi_emlak_arsa_satildi;8;kayit_turu;character varying
kentrehberi_emlak_arsa_satildi;9;tasinmaz_tipi;character varying
kentrehberi_emlak_arsa_satildi;10;edinme_sebebi;character varying
kentrehberi_emlak_arsa_satildi;11;icon;character varying
kentrehberi_emlak_arsa_satildi;12;geo_durum;boolean
